frequency_hz,amplitude
0.000000000000,0.000000000000
8.000000000000,0.055927721731
16.000000000000,0.061783166302
24.000000000000,0.074116571844
32.000000000000,0.100345430001
40.000000000000,0.172774319595
48.000000000000,0.865146554475
56.000000000000,0.757769038785
64.000000000000,0.121081590340
72.000000000000,0.073784735301
80.000000000000,0.053485402671
88.000000000000,0.042145250760
96.000000000000,0.034938372173
104.000000000000,0.029980583188
112.000000000000,0.026380639130
120.000000000000,0.023662360548
128.000000000000,0.021548602259
136.000000000000,0.019867427057
144.000000000000,0.018506745906
152.000000000000,0.017390535578
160.000000000000,0.016465547176
168.000000000000,0.015693483769
176.000000000000,0.015046195981
184.000000000000,0.014502623724
192.000000000000,0.014046789801
200.000000000000,0.013666449661
208.000000000000,0.013352163337
216.000000000000,0.013096646814
224.000000000000,0.012894313357
232.000000000000,0.012740947512
240.000000000000,0.012633474518
248.000000000000,0.012569800730
256.000000000000,0.006274354612
