frequency_hz,amplitude
0.000000000000,0.000000000000
0.007812500000,0.000058118932
0.015625000000,0.000058159961
0.023437500000,0.000058228363
0.031250000000,0.000058324165
0.039062500000,0.000058447405
0.046875000000,0.000058598136
0.054687500000,0.000058776420
0.062500000000,0.000058982335
0.070312500000,0.000059215970
0.078125000000,0.000059477430
0.085937500000,0.000059766837
0.093750000000,0.000060084326
0.101562500000,0.000060430054
0.109375000000,0.000060804193
0.117187500000,0.000061206939
0.125000000000,0.000061638506
0.132812500000,0.000062099135
0.140625000000,0.000062589091
0.148437500000,0.000063108665
0.156250000000,0.000063658178
0.164062500000,0.000064237983
0.171875000000,0.000064848463
0.179687500000,0.000065490039
0.187500000000,0.000066163171
0.195312500000,0.000066868356
0.203125000000,0.000067606142
0.210937500000,0.000068377113
0.218750000000,0.000069181912
0.226562500000,0.000070021231
0.234375000000,0.000070895821
0.242187500000,0.000071806492
0.250000000000,0.000072754125
0.257812500000,0.000073739665
0.265625000000,0.000074764136
0.273437500000,0.000075828643
0.281250000000,0.000076934378
0.289062500000,0.000078082627
0.296875000000,0.000079274779
0.304687500000,0.000080512328
0.312500000000,0.000081796891
0.320312500000,0.000083130209
0.328125000000,0.000084514166
0.335937500000,0.000085950792
0.343750000000,0.000087442281
0.351562500000,0.000088991008
0.359375000000,0.000090599540
0.367187500000,0.000092270657
0.375000000000,0.000094007372
0.382812500000,0.000095812951
0.390625000000,0.000097690944
0.398437500000,0.000099645206
0.406250000000,0.000101679937
0.414062500000,0.000103799712
0.421875000000,0.000106009528
0.429687500000,0.000108314846
0.437500000000,0.000110721643
0.445312500000,0.000113236478
0.453125000000,0.000115866565
0.460937500000,0.000118619840
0.468750000000,0.000121505061
0.476562500000,0.000124531918
0.484375000000,0.000127711152
0.492187500000,0.000131054695
0.500000000000,0.000134575843
0.507812500000,0.000138289450
0.515625000000,0.000142212162
0.523437500000,0.000146362677
0.531250000000,0.000150762084
0.539062500000,0.000155434235
0.546875000000,0.000160406208
0.554687500000,0.000165708861
0.562500000000,0.000171377506
0.570312500000,0.000177452703
0.578125000000,0.000183981270
0.585937500000,0.000191017505
0.593750000000,0.000198624688
0.601562500000,0.000206876988
0.609375000000,0.000215861825
0.617187500000,0.000225682898
0.625000000000,0.000236464047
0.632812500000,0.000248354237
0.640625000000,0.000261534096
0.648437500000,0.000276224548
0.656250000000,0.000292698362
0.664062500000,0.000311295904
0.671875000000,0.000332446838
0.679687500000,0.000356700697
0.687500000000,0.000384770736
0.695312500000,0.000417598330
0.703125000000,0.000456450070
0.710937500000,0.000503068628
0.718750000000,0.000559915592
0.726562500000,0.000630578964
0.734375000000,0.000720492002
0.742187500000,0.000838281230
0.750000000000,0.000998495305
0.757812500000,0.001227704142
0.765625000000,0.001580081708
0.773437500000,0.002185691296
0.781250000000,0.003454603642
0.789062500000,0.007706491851
0.796875000000,0.048624860719
0.804687500000,0.006230295327
0.812500000000,0.003458730993
0.820312500000,0.002465598192
0.828125000000,0.001963964548
0.835937500000,0.001668459917
0.843750000000,0.001479830859
0.851562500000,0.001354677268
0.859375000000,0.001271213685
0.867187500000,0.001217526828
0.875000000000,0.001186809722
0.882812500000,0.001175201801
0.890625000000,0.001180751488
0.898437500000,0.001202932299
0.906250000000,0.001242484710
0.914062500000,0.001301510159
0.921875000000,0.001383842672
0.929687500000,0.001495835253
0.937500000000,0.001647900021
0.945312500000,0.001857607443
0.953125000000,0.002156403913
0.960937500000,0.002605923270
0.968750000000,0.003344716084
0.976562500000,0.004761200078
0.984375000000,0.008515812710
0.992187500000,0.046182354061
1.000000000000,0.013010585392
1.007812500000,0.005626738245
1.015625000000,0.003563979881
1.023437500000,0.002596479458
1.031250000000,0.002036237293
1.039062500000,0.001671582157
1.046875000000,0.001415785354
1.054687500000,0.001226738968
